movies id,title,year,rating,genre,scaled_rating
448453,Sahhas,1981.0,0.0,Drama,0.0
561948,Joy Ride,2007.0,0.0,Drama,0.0
318765,Maa Kasam,1985.0,0.0,Drama,0.0
619094,Naya Kadam,1984.0,0.0,Drama,0.0
158736,Idiot Box,2010.0,0.0,Drama,0.0
1178512,Kaam Granth,2001.0,0.0,Drama,0.0
534985,Bhaiaji Superhitt,2018.0,6.0,Drama,0.6000000000000001
477091,Kaala Mandir,2000.0,0.0,Drama,0.0
442680,Shaitani Dracula,2006.0,0.0,Drama,0.0
606242,Rupaye Dus Karod,1991.0,0.0,Drama,0.0
427733,Moh Maya Money,2016.0,5.0,Drama,0.5
586462,Aurat Teri Yehi Kahani,1988.0,0.0,Drama,0.0
453423,Abhay,1995.0,0.0,Drama,0.0
795740,Palkon Ki Chhaon Mein,1977.0,0.0,Drama,0.0
509750,Himalay Se Ooncha,1975.0,0.0,Drama,0.0
346940,Wajood,1998.0,0.0,Drama,0.0
1163663,Baazigar,1972.0,0.0,Drama,0.0
903933,Distance,2013.0,0.0,Drama,0.0
374949,Ganga Tere Desh Mein,1988.0,10.0,Drama,1.0
1026901,Palki,1967.0,0.0,Drama,0.0
500095,Khooni Ped,2008.0,0.0,Drama,0.0
331309,Andar Baahar,1984.0,4.0,Drama,0.4
304339,Ponga Pandit,1975.0,0.0,Drama,0.0
301619,Charitraheen,1974.0,0.0,Drama,0.0
161415,Chaand Kaa Tukdaa,1994.0,5.2,Drama,0.52
1087556,Ek Gaon Ki Kahani,1957.0,0.0,Drama,0.0
1019973,Eleven Thousand Girls,1962.0,0.0,Drama,0.0
621686,Bahen,1941.0,0.0,Drama,0.0
618977,Qaidi,2002.0,0.0,Drama,0.0
585687,Sacrifice,1927.0,0.0,Drama,0.0
496371,Chudail Ka Badla,2005.0,0.0,Drama,0.0
476914,Bhooth Haveli,2000.0,0.0,Drama,0.0
410844,Dil Hi To Hai,1963.0,0.0,Drama,0.0
331390,Mr Azaad,1994.0,1.0,Drama,0.1
322292,Saqi,1952.0,0.0,Drama,0.0
311480,Dattak,2001.0,0.0,Drama,0.0
304775,Nagina,1951.0,0.0,Drama,0.0
304253,Hum Log,1951.0,0.0,Drama,0.0
302990,Kasam,2001.0,0.0,Drama,0.0
96156,Arth,1982.0,7.1,Drama,0.71
1213996,Animal Park,2023.0,0.0,Drama,0.0
1213906,Untitled Vikrant Massey/Raashii Khanna Project,2023.0,0.0,Drama,0.0
1200131,Woh Phir Aayegi,1988.0,0.0,Drama,0.0
1122030,YRF spy universe film,2023.0,0.0,Drama,0.0
1021515,Scattered Pearls,1971.0,0.0,Drama,0.0
1017614,Rajlakshmi,1987.0,0.0,Drama,0.0
988501,Chowkidar,1974.0,0.0,Drama,0.0
911831,Oh Bewafaa,1980.0,0.0,Drama,0.0
863963,Mera Yaar Mera Dushman,1987.0,0.0,Drama,0.0
862026,Anokha Bandhan,1982.0,0.0,Drama,0.0
829381,Pune Design Festival 2021 - Signature Film,2023.0,0.0,Drama,0.0
814128,Yaara Dildara,1991.0,0.0,Drama,0.0
618320,Vachan,1974.0,0.0,Drama,0.0
613705,Honeymoon,1973.0,0.0,Drama,0.0
496526,Badle Ki Aag,1982.0,0.0,Drama,0.0
432508,Meri Biwi Ki Shaadi,1979.0,0.0,Drama,0.0
423833,Chor Chor,1974.0,0.0,Drama,0.0
319840,Tamacha,1988.0,0.0,Drama,0.0
304526,Saanch Ko Aanch Nahin,1979.0,0.0,Drama,0.0
300337,Aansoo Aur Muskan,1970.0,0.0,Drama,0.0
273853,Lakhon Mein Ek,1971.0,0.0,Drama,0.0
170990,Hip Hip Hurray,1983.0,0.0,Drama,0.0
551493,Sanjog,1985.0,6.0,Drama,0.6000000000000001
33540,Sorry Bhai,2008.0,4.1,Drama,0.41
620474,Gawaahi,1989.0,0.0,Drama,0.0
506059,Rocky,2006.0,3.0,Drama,0.30000000000000004
406025,Gullu Dada Returns,2010.0,8.0,Drama,0.8
302182,Kahani Kismat Ki,1973.0,5.0,Drama,0.5
117368,Tehzeeb,2003.0,2.0,Drama,0.2
479401,Lakeer Ka Fakeer,2013.0,8.0,Drama,0.8
276879,Chitralekha,1964.0,0.0,Drama,0.0
309698,Deshdrohi,2008.0,2.4,Drama,0.24
287160,Aabra Ka Daabra,2004.0,5.5,Drama,0.55
1067209,Gandhi Godse Ek Yudh,2023.0,4.5,Drama,0.45
202796,Zindagi 50 50,2013.0,3.0,Drama,0.30000000000000004
564985,Jeevan Yudh,1997.0,10.0,Drama,1.0
205211,Saaya,2003.0,4.0,Drama,0.4
526133,Khajoor Pe Atke,2018.0,0.0,Drama,0.0
