movies id,title,year,rating,genre
80156,Gadar: Ek Prem Katha,2001.0,6.7,Drama
20656,Saathiya,2002.0,5.9,Drama
131940,Josh,2000.0,5.8,Drama
43410,Yuva,2004.0,6.6,Drama
441071,Naam Shabana,2017.0,5.8,Drama
275269,Wazir,2016.0,6.6,Drama
611594,Mission Mangal,2019.0,6.9,Drama
53299,Patiala House,2011.0,5.9,Drama
332835,Piku,2015.0,7.0,Drama
679844,Radhe,2021.0,4.5,Drama
518497,Sir,2018.0,7.2,Drama
35907,Kaante,2002.0,5.7,Drama
291154,Daawat-e-Ishq,2014.0,6.8,Drama
49679,Action Replayy,2010.0,5.2,Drama
915617,Hacker: Trust No One,2022.0,0.0,Drama
353898,Manjhi: The Mountain Man,2015.0,7.3,Drama
426558,Force 2,2016.0,6.6,Drama
611356,Gulabo Sitabo,2020.0,5.7,Drama
56338,7 Khoon Maaf,2011.0,6.2,Drama
986594,Mrs. Chatterjee Vs Norway,2023.0,5.3,Drama
82825,Kahaani,2012.0,7.1,Drama
15975,Oye Lucky! Lucky Oye!,2008.0,7.0,Drama
132744,One 2 Ka 4,2001.0,5.7,Drama
20027,Delhi-6,2009.0,5.8,Drama
601337,83,2021.0,7.1,Drama
556271,Kalank,2019.0,5.6,Drama
403867,Kaabil,2017.0,6.8,Drama
460713,102 Not Out,2018.0,7.5,Drama
569594,Bharat,2019.0,6.4,Drama
165402,Main Prem Ki Diwani Hoon,2003.0,5.0,Drama
766116,Runway 34,2022.0,6.4,Drama
398535,Udta Punjab,2016.0,7.2,Drama
401552,Sachin: A Billion Dreams,2017.0,7.4,Drama
584850,Tanhaji: The Unsung Warrior,2020.0,6.7,Action
21665,Khakee,2004.0,6.3,Drama
35064,Dhadkan,2000.0,6.5,Drama
51725,Khuda Gawah,1992.0,5.9,Drama
614179,Coolie No. 1,2020.0,5.5,Drama
531597,Satyameva Jayate,2018.0,6.5,Drama
118628,English Vinglish,2012.0,7.2,Drama
479918,Qarib Qarib Singlle,2017.0,7.0,Drama
323517,Badlapur,2015.0,7.0,Drama
585062,Luka Chuppi,2019.0,6.1,Drama
44972,We Are Family,2010.0,5.9,Drama
726207,Phone Bhoot,2022.0,5.3,Drama
157129,Table No. 21,2013.0,6.3,Drama
679045,Shakuntala Devi,2020.0,6.7,Drama
45001,Deewana,1992.0,6.9,Drama
534081,Sandeep Aur Pinky Faraar,2021.0,6.5,Drama
496076,Zero,2018.0,5.2,Drama
61203,Shor in the City,2011.0,6.2,Drama
143889,Nagina,1986.0,7.1,Drama
455470,Meri Pyaari Bindu,2017.0,6.1,Drama
337876,Gabbar Is Back,2015.0,7.0,Drama
103640,Ishaqzaade,2012.0,6.3,Drama
41053,Pyaasa,1957.0,7.2,Drama
579230,Bala,2019.0,6.6,Drama
276935,Ek Villain,2014.0,6.5,Drama
27624,Maine Pyar Kiya,1989.0,6.1,Drama
54890,Dhobi Ghat,2010.0,6.5,Drama
137180,Aiyyaa,2012.0,4.5,Drama
38440,Gangster,2006.0,6.9,Drama
209410,Shuddh Desi Romance,2013.0,5.7,Romance
165904,Special 26,2013.0,7.3,Drama
20929,Taal,1999.0,6.4,Drama
33556,Ishqiya,2010.0,6.4,Drama
743382,Serious Men,2020.0,6.7,Drama
15412,Khosla Ka Ghosla!,2006.0,7.1,Drama
16987,Kaho Naa... Pyaar Hai,2000.0,6.8,Drama
205017,Lootera,2013.0,6.9,Drama
